,episode,timesteps,penalties,score
490,490,49,2,-46
491,491,17,1,-5
492,492,34,1,-22
493,493,20,2,-17
494,494,122,2,-119
495,495,115,4,-130
496,496,65,1,-53
497,497,28,1,-16
498,498,47,1,-35
499,499,105,3,-111
500,500,23,1,-11
501,501,30,0,-9
502,502,91,3,-97
503,503,79,3,-85
504,504,68,0,-47
505,505,118,3,-124
506,506,40,1,-28
507,507,195,12,-282
508,508,133,6,-166
509,509,80,1,-68
510,510,61,1,-49
511,511,95,4,-110
512,512,77,4,-92
513,513,101,6,-134
514,514,82,2,-79
515,515,13,0,8
516,516,86,6,-119
517,517,51,3,-57
518,518,101,4,-116
519,519,96,3,-102
520,520,15,1,-3
521,521,114,4,-129
522,522,74,2,-71
523,523,59,3,-65
524,524,118,6,-151
525,525,41,2,-38
526,526,146,8,-197
527,527,61,0,-40
528,528,17,1,-5
529,529,36,1,-24
530,530,107,4,-122
531,531,10,0,11
532,532,10,0,11
533,533,40,0,-19
534,534,107,4,-122
535,535,54,1,-42
536,536,127,3,-133
537,537,48,1,-36
538,538,114,3,-120
539,539,7,0,14
540,540,122,4,-137
541,541,22,0,-1
542,542,45,0,-24
543,543,213,10,-282
544,544,86,1,-74
545,545,74,0,-53
546,546,51,0,-30
547,547,76,3,-82
548,548,11,0,10
549,549,140,8,-191
550,550,19,1,-7
551,551,9,0,12
552,552,40,2,-37
553,553,74,3,-80
554,554,16,0,5
555,555,127,1,-115
556,556,60,1,-48
557,557,85,0,-64
558,558,6,0,15
559,559,75,0,-54
560,560,22,2,-19
561,561,47,2,-44
562,562,100,1,-88
563,563,39,2,-36
564,564,21,0,0
565,565,51,4,-66
566,566,11,0,10
567,567,73,4,-88
568,568,26,3,-32
569,569,11,0,10
570,570,45,1,-33
571,571,120,2,-117
572,572,24,1,-12
573,573,10,0,11
574,574,55,2,-52
575,575,89,3,-95
576,576,12,0,9
577,577,45,1,-33
578,578,21,0,0
579,579,83,3,-89
580,580,88,7,-130
581,581,8,0,13
582,582,65,0,-44
583,583,15,0,6
584,584,84,2,-81
585,585,98,3,-104
586,586,30,0,-9
587,587,134,3,-140
588,588,74,4,-89
589,589,77,2,-74
590,590,14,0,7
591,591,78,2,-75
592,592,87,2,-84
593,593,11,1,1
594,594,119,3,-125
595,595,46,0,-25
596,596,26,3,-32
597,597,123,4,-138
598,598,70,4,-85
599,599,10,0,11
600,600,108,8,-159
601,601,33,0,-12
602,602,14,1,-2
603,603,58,2,-55
604,604,46,3,-52
605,605,60,1,-48
606,606,22,1,-10
607,607,116,4,-131
608,608,81,3,-87
609,609,13,0,8
610,610,131,3,-137
611,611,50,1,-38
612,612,10,1,2
613,613,106,4,-121
614,614,122,3,-128
615,615,78,2,-75
616,616,90,2,-87
617,617,35,3,-41
618,618,46,2,-43
619,619,22,1,-10
620,620,33,1,-21
621,621,23,1,-11
622,622,33,0,-12
623,623,9,0,12
624,624,42,3,-48
625,625,80,3,-86
626,626,39,1,-27
627,627,13,1,-1
628,628,34,0,-13
629,629,104,4,-119
630,630,38,3,-44
631,631,41,2,-38
632,632,64,0,-43
633,633,95,3,-101
634,634,58,0,-37
635,635,32,1,-20
636,636,17,1,-5
637,637,92,7,-134
638,638,98,2,-95
639,639,42,0,-21
640,640,66,1,-54
641,641,43,2,-40
642,642,64,2,-61
643,643,49,1,-37
644,644,6,0,15
645,645,30,0,-9
646,646,43,0,-22
647,647,33,1,-21
648,648,74,1,-62
649,649,7,0,14
650,650,27,0,-6
651,651,141,4,-156
652,652,41,4,-56
653,653,31,3,-37
654,654,20,1,-8
655,655,35,2,-32
656,656,70,1,-58
657,657,98,4,-113
658,658,53,1,-41
659,659,48,0,-27
660,660,28,0,-7
661,661,95,4,-110
662,662,20,1,-8
663,663,55,3,-61
664,664,27,1,-15
665,665,109,1,-97
666,666,80,1,-68
667,667,22,2,-19
668,668,10,0,11
669,669,18,2,-15
670,670,98,2,-95
671,671,20,0,1
672,672,42,1,-30
673,673,18,0,3
